FIPS,Total,Male,Female,Eighteen_Years_Plus,SixFive_Years_Plus,One_Race,Two_Plus_Races
13281,11617,5464,6153,10178,3996,11504,113
13283,6795,3495,3300,5330,1408,6771,24
13285,69919,33401,36518,52659,10118,68710,1209
13287,7943,3801,4142,6009,1547,7931,12
13289,8229,4038,4191,6632,1802,8132,97
13291,23288,11350,11938,19485,7568,22984,304
13293,26236,12482,13754,20128,4719,25798,438
13295,69039,34210,34829,53910,12639,67546,1493
13297,91442,44379,47063,68567,13860,89940,1502
13299,35593,17921,17672,27198,6014,34867,726
13301,5297,2469,2828,4195,1143,5259,38
13303,20436,10465,9971,16055,3617,20109,327
13305,29788,14998,14790,22423,4657,28996,792
13307,2610,1272,1338,1977,523,2561,49
13309,7928,5012,2916,6584,1117,7905,23
13311,29489,14398,15091,23667,6505,28896,593
13313,104237,51688,52549,76886,14293,102752,1485
13315,8824,5286,3538,7161,1468,8783,41
13317,9844,4771,5073,7738,2250,9754,90
13319,9010,4273,4737,6940,1688,8893,117
13321,20494,9871,10623,15878,3844,20120,374
15001,199459,99002,100457,156218,40272,141844,57615
15003,984821,496066,488755,775598,170369,756126,228695
15005,66,30,36,65,11,51,15
15007,71769,35529,36240,56014,13859,54649,17120
15009,165979,82633,83346,129561,29095,129697,36282
16001,456849,228886,227963,347052,63734,441452,15397
16003,4097,2112,1985,3396,1209,4017,80
16005,85765,42727,43038,63176,11817,82995,2770
16007,6000,2958,3042,4416,1235,5934,66
16009,9138,4620,4518,7074,2028,8889,249
16011,45839,22914,22925,31624,6295,44264,1575
16013,22373,11521,10852,17410,3977,22014,359
16015,7378,3779,3599,6118,1835,7166,212
16017,43611,21751,21860,34898,10361,42545,1066
16019,114392,57322,57070,79021,14935,111245,3147
16021,11845,5921,5924,9052,2519,11658,187
16023,2581,1359,1222,1986,536,2581,0
16025,1048,497,551,777,197,1045,3
16027,217633,107672,109961,154842,29229,209214,8419
16029,6953,3570,3383,4914,1158,6790,163
16031,23690,12047,11643,16085,3260,23368,322
16033,913,480,433,648,135,913,0
16035,8673,4831,3842,7278,2313,8453,220
16037,4169,2147,2022,3497,1368,3903,266
16039,26743,14059,12684,20032,3480,25656,1087
16041,13464,6915,6549,9087,1859,13207,257
16043,13020,6752,6268,9588,2214,12722,298
16045,17331,8616,8715,13315,3678,16847,484
16047,15148,7773,7375,10984,2528,14765,383
16049,16411,8629,7782,13194,4407,16158,253
16051,28534,14526,14008,18897,3127,28062,472
16053,23730,11982,11748,16421,2990,23322,408
16055,157322,77730,79592,121136,29082,152920,4402
16057,39505,20254,19251,32124,5149,38465,1040
16059,7847,3987,3860,6356,2297,7540,307
16061,3838,1900,1938,2970,947,3732,106
16063,5350,2805,2545,3766,695,5202,148
16065,39100,19881,19219,28421,2590,37954,1146
16067,20705,10345,10360,14796,3275,20427,278
16069,40217,19834,20383,31677,7880,39138,1079
16071,4385,2146,2239,3081,841,4305,80
16073,11552,5952,5600,8530,2074,11157,395
16075,23260,11544,11716,17085,4160,22384,876
16077,7671,3881,3790,5348,1203,7658,13
16079,12609,6298,6311,10057,2816,12285,324
16081,11426,5972,5454,8545,1244,11186,240
16083,84869,41795,43074,61327,12788,83247,1622
16085,10709,5411,5298,8890,2949,10668,41
16087,10057,4924,5133,7712,2475,9728,329
17001,66085,32276,33809,51164,13186,65088,997
17003,6260,2991,3269,4803,1332,6142,118
17005,16589,8582,8007,13428,3031,16540,49
17007,53537,26792,26745,40023,8334,52246,1291
17009,6628,4193,2435,5486,960,6605,23
17011,33122,16334,16788,26025,7163,32668,454
17013,4830,2420,2410,3821,1124,4803,27
17015,14466,7178,7288,11661,3598,14243,223
17017,12493,6236,6257,9450,2156,12359,134
17019,209922,104627,105295,170337,25959,204346,5576
17021,32931,16644,16287,26185,6374,32556,375
17023,15716,7756,7960,12093,3041,15527,189
17025,13287,6634,6653,10270,2661,12964,323
17027,37634,19604,18030,29662,6261,37048,586
17029,51353,24877,26476,42098,8495,50601,752
17031,5198275,2522949,2675326,4053168,741170,5060136,138139
17033,18972,9906,9066,15209,3558,18515,457
17035,10836,5476,5360,8355,2094,10661,175
17037,104366,51753,52613,81843,12682,101816,2550
17039,15932,7947,7985,12489,2990,15620,312
17041,19623,9721,9902,14710,3445,19378,245
17043,929060,456209,472851,716576,139388,902732,26328
17045,17407,8540,8867,13878,3777,17343,64
17047,6455,3218,3237,4956,1350,6364,91
17049,34137,16958,17179,26043,5851,33820,317
17051,21565,11469,10096,17111,4058,21477,88
17053,13270,6551,6719,10253,2498,13183,87
17055,38923,19195,19728,30305,7819,38509,414
17057,35092,18321,16771,28130,7045,34645,447
17059,5064,2463,2601,4026,1191,4960,104
17061,13132,6591,6541,10403,2502,13004,128
17063,50666,25313,25353,37785,6881,49744,922
17065,8176,4072,4104,6364,1759,8176,0
17067,17983,8975,9008,14193,4102,17710,273
17069,3939,1968,1971,3263,976,3882,57
17071,6809,3356,3453,5551,1688,6695,114
17073,49267,24536,24731,38250,10006,48628,639
17075,27812,13576,14236,21740,5895,27294,518
17077,57977,28661,29316,47331,8597,56241,1736
17079,9594,4773,4821,7368,1827,9400,194
17081,37985,19500,18485,29543,7074,36948,1037
17083,21937,10720,11217,17380,4185,21414,523
17085,21588,10864,10724,17462,5873,21372,216
17087,12494,6940,5554,10230,2615,12458,36
17089,531376,264564,266812,393676,69950,516067,15309
17091,110637,54462,56175,85128,18008,108550,2087
17093,126054,62117,63937,89708,12753,122666,3388
17095,50508,25586,24922,40517,10528,49607,901
17097,701473,350466,351007,529927,96339,680907,20566
17099,109737,55245,54492,86024,20269,107803,1934
17101,16033,8687,7346,13139,3005,15725,308
17103,34389,18299,16090,27577,6511,33687,702
17105,36040,18429,17611,28278,6818,35470,570
17107,29003,14298,14705,23396,5224,28201,802
17109,30479,14845,15634,25256,5234,29659,820
17111,307714,153295,154419,234370,43124,301757,5957
17113,172578,83872,88706,135227,21949,168506,4072
17115,105528,50585,54943,82008,20493,99692,5836
17117,45463,22535,22928,35780,8895,44860,603
17119,264776,129045,135731,206631,44479,259255,5521
17121,37743,18613,19130,29068,7288,36783,960
17123,11679,5788,5891,9284,2661,11484,195
17125,13621,6708,6913,10804,3005,13409,212
17127,14219,6714,7505,11015,2962,13821,398
17129,12306,6031,6275,9612,2388,12082,224
17131,15589,7792,7797,12225,3284,15354,235
17133,34168,16788,17380,26526,5891,33923,245
17135,28828,15134,13694,23052,5655,28559,269
17137,34247,17174,17073,27759,6703,33583,664
17139,14641,7199,7442,10965,2766,14543,98
17141,51025,25310,25715,39465,9276,50201,824
17143,182770,88617,94153,139285,30069,176085,6685
17145,21251,11627,9624,17212,3924,20941,310
17147,16401,8076,8325,12705,3134,16141,260
17149,15672,7744,7928,12129,3225,15499,173
17151,4203,2262,1941,3577,1150,4140,63
17153,5510,2717,2793,4304,1201,5312,198
17155,5721,2962,2759,4606,1298,5654,67
17157,32295,17877,14418,26080,5971,31822,473
17159,15766,7797,7969,12140,3166,15546,220
17161,143873,70898,72975,111739,27050,138607,5266
17163,262338,126734,135604,200499,39961,254550,7788
17165,23994,11807,12187,18798,4785,23273,721
17167,196861,94496,102365,152674,33946,191647,5214
17169,6953,3641,3312,5649,1528,6853,100
17171,5005,2437,2568,3909,996,4960,45
17173,21737,10721,11016,17103,4801,21597,140
17175,5447,2691,2756,4273,1192,5397,50
17177,45093,21808,23285,35355,9959,43676,1417
17179,133195,65539,67656,102821,24376,131316,1879
17181,16968,8508,8460,13379,3470,16596,372
17183,77563,38565,38998,59125,14530,76201,1362
17185,11546,5666,5880,8980,2336,11291,255
17187,17146,8169,8977,13390,3186,16949,197
17189,14058,7068,6990,11020,2796,13871,187
17191,16402,8110,8292,12679,3493,16198,204
17193,13868,6785,7083,10874,2993,13787,81
17195,56016,27705,28311,43540,11371,54876,1140
17197,689315,342031,347284,514973,86914,668595,20720
17199,67102,33474,33628,52420,12505,65381,1721
17201,284819,139039,145780,217729,48452,275359,9460
17203,38700,19355,19345,29300,6727,38050,650
18001,35376,17650,17726,24287,5352,35102,274
18003,372575,182088,190487,276268,52951,358725,13850
18005,82481,41170,41311,62710,13234,80346,2135
18007,8677,4332,4345,6516,1520,8536,141
18009,12013,5965,6048,9422,2524,11797,216
18011,65544,32417,33127,48175,8462,64419,1125
18013,15064,7354,7710,12384,3661,14825,239
18015,20074,10085,9989,15592,3844,19955,119
18017,37880,19019,18861,29067,6594,36857,1023
18019,116507,56860,59647,90073,17949,112411,4096
18021,26234,12925,13309,20207,4676,25657,577
18023,32273,16067,16206,23813,5214,32017,256
18025,10569,5356,5213,8148,2025,10346,223
18027,33120,16687,16433,23421,5029,32737,383
18029,49479,24658,24821,38213,8421,49013,466
18031,26562,13182,13380,20120,4384,26381,181
18033,42927,21411,21516,32455,6778,42321,606
18035,115020,55549,59471,93705,19384,112051,2969
18037,42543,21180,21363,32031,7171,42069,474
18039,204558,101223,103335,147834,29243,198144,6414
18041,23194,11402,11792,18065,4552,23056,138
18043,77320,37319,40001,59698,12125,75409,1911
18045,16430,8254,8176,12795,3205,16182,248
18047,22774,11230,11544,17335,3993,22474,300
18049,20096,9903,10193,15362,3799,19779,317
18051,33656,16923,16733,25687,5787,32912,744
18053,66452,31695,34757,52645,12406,64498,1954
18055,32159,15971,16188,25091,6201,31674,485
18057,323117,157702,165415,234567,38362,315205,7912
18059,75164,37039,38125,57482,11971,73691,1473
18061,39940,19862,20078,30894,6878,39410,530
18063,163799,81767,82032,122387,21828,160717,3082
18065,48255,25389,22866,38378,8991,47513,742
18067,82331,39867,42464,63681,15690,80409,1922
18069,36359,17919,18440,28528,6128,36075,284
18071,44025,21842,22183,33244,6978,43345,680
18073,33447,16731,16716,25569,5783,32718,729
18075,20840,10452,10388,15561,3615,20637,203
18077,32201,15332,16869,25567,5590,31804,397
18079,27710,13964,13746,21292,4412,27602,108
18081,153716,75493,78223,115437,22150,151203,2513
18083,37065,18817,18248,29120,6494,36528,537
18085,79035,39472,39563,59962,12827,77438,1597
18087,39193,19811,19382,26349,5259,38536,657
18089,485707,234929,250778,370770,78104,469180,16527
18091,110154,56741,53413,86374,19099,106557,3597
18093,45548,22485,23063,35559,9006,44804,744
18095,129455,64666,64789,101226,23226,125947,3508
18097,951869,458696,493173,716549,116806,919630,32239
18099,46461,23189,23272,34682,8028,45459,1002
18101,10212,5158,5054,7936,1951,10155,57
18103,35815,19028,16787,28138,6198,35301,514
18105,146461,72846,73615,123349,18463,141436,5025
18107,38287,19388,18899,29602,6810,37377,910
18109,69922,34624,35298,53931,11371,69029,893
18111,13992,6989,7003,10997,2647,13892,100
18113,47506,23872,23634,35518,7233,46634,872
18115,5874,2922,2952,4745,1232,5792,82
18117,19545,9805,9740,15039,3697,19320,225
18119,20835,10636,10199,16419,3950,20472,363
18121,16946,8170,8776,13308,3239,16486,460
18123,19102,10191,8911,15019,3468,18876,226
18125,12378,6176,6202,9547,2437,12258,120
18127,168636,83467,85169,131131,26892,164623,4013
18129,25560,12744,12816,19840,4654,25266,294
18131,12559,6330,6229,9688,2374,12280,279
18133,37384,19760,17624,30096,6123,36938,446
18135,24926,12214,12712,19187,4907,24305,621
18137,28391,14040,14351,21643,4925,28129,262
18139,16641,8092,8549,12873,2974,16498,143
18141,270216,131381,138835,206185,41609,260537,9679
18143,23759,11681,12078,18441,3947,23455,304
18145,44438,21874,22564,34304,7400,43724,714
18147,20447,10264,10183,15921,3940,20214,233
18149,22952,11422,11530,17545,4089,22731,221
18151,34453,17548,16905,27384,6746,33662,791
18153,20730,11076,9654,16653,3577,20295,435
18155,10685,5533,5152,7999,1894,10545,140
18157,191553,97798,93755,152093,21322,187001,4552
18159,15162,7538,7624,12008,3075,14816,346
18161,7113,3480,3633,5592,1339,7062,51
18163,181291,87633,93658,141945,29766,176406,4885
18165,15539,7778,7761,12107,3022,15423,116
18167,107459,54561,52898,85414,17153,103879,3580
18169,31389,15334,16055,24882,6401,31071,318
18171,8237,4109,4128,6424,1658,8120,117
18173,62280,30667,31613,47330,10594,61515,765
18175,27848,13885,13963,21478,4657,27553,295
18177,66342,32240,34102,51666,12467,64441,1901
18179,28011,13734,14277,21107,5024,27529,482
18181,24149,12063,12086,18499,4711,23745,404
18183,33730,16755,16975,25932,5943,33100,630
19001,7085,3505,3580,5566,1566,7011,74
19003,3670,1830,1840,2903,836,3662,8
19005,13813,6975,6838,10619,3076,13675,138
19007,12452,6138,6314,9719,2827,12261,191
19009,5571,2770,2801,4425,1354,5429,142
19011,25636,12788,12848,19584,4631,25300,336
19013,132393,65087,67306,103708,21138,129353,3040
19015,26370,13203,13167,20646,4665,25921,449
19017,24864,12313,12551,19326,4866,24574,290
19019,21118,10432,10686,15469,3769,20734,384
19021,20058,9999,10059,14864,3027,19773,285
19023,14628,7291,7337,11220,3268,14496,132
19025,9744,5057,4687,7681,2222,9579,165
19027,20281,10005,10276,15313,4000,20134,147
19029,13091,6457,6634,10185,2954,12931,160
19031,18457,9179,9278,14202,3553,18375,82
19033,42834,20905,21929,34021,9043,42041,793
19035,11343,5720,5623,8906,2666,11125,218
19037,12026,6090,5936,9274,2420,11970,56
19039,9360,4588,4772,7059,1671,9183,177
19041,16211,7998,8213,12550,3329,15813,398
19043,17625,8946,8679,13867,4045,17511,114
19045,46909,22958,23951,36220,9057,45822,1087
19047,17034,8491,8543,12806,2900,16670,364
19049,87099,42984,44115,62763,10357,85326,1773
19051,8920,4403,4517,6299,1555,8809,111
19053,7979,4009,3970,6244,1567,7838,141
19055,17183,8626,8557,13063,3276,16990,193
19057,39386,19149,20237,30457,7981,38236,1150
19059,17127,8519,8608,13891,4374,17006,121
19061,96982,47818,49164,74779,16778,95511,1471
19063,9438,4728,4710,7479,1937,9280,158
19065,19803,9956,9847,15654,4159,19459,344
19067,15786,7757,8029,12224,3428,15503,283
19069,10162,5055,5107,7819,2109,10132,30
19071,6946,3455,3491,5434,1547,6866,80
19073,8950,4397,4553,6908,1996,8780,170
19075,12299,6087,6212,9464,2519,12201,98
19077,10669,5278,5391,8238,2358,10482,187
19079,14997,7376,7621,11564,3024,14975,22
19081,10802,5418,5384,8414,2358,10737,65
19083,17061,8522,8539,13479,3634,16816,245
19085,14089,7030,7059,10851,2736,13886,203
19087,19941,10133,9808,15581,3676,19422,519
19089,9226,4613,4613,6887,1866,9122,104
19091,9554,4683,4871,7327,1987,9438,116
19093,6901,3442,3459,5282,1511,6845,56
19095,16189,8020,8169,12469,2984,15986,203
19097,19401,9713,9688,15089,3957,19152,249
19099,36971,18879,18092,28696,6989,36333,638
19101,18148,8889,9259,15281,3915,17454,694
19103,148577,73612,74965,118758,16810,145123,3454
19105,20559,10633,9926,16168,4144,20279,280
19107,10188,5180,5008,7866,2194,10070,118
19109,14978,7508,7470,11685,3456,14815,163
19111,34227,17263,16964,26779,6805,33483,744
19113,223861,110379,113482,171251,34771,217033,6828
19115,11178,5728,5450,8650,2049,11078,100
19117,8583,4317,4266,6595,1836,8549,34
19119,11776,6012,5764,8446,2103,11644,132
19121,16012,8101,7911,12049,2735,15840,172
19123,22164,11148,11016,16848,4005,21874,290
19125,33172,16498,16674,25428,5805,32709,463
19127,39964,20308,19656,29900,7069,39051,913
19129,15034,7516,7518,11437,2711,14910,124
19131,10608,5233,5375,8124,2306,10506,102
19133,8730,4181,4549,6944,2125,8652,78
19135,7807,3886,3921,5967,1533,7780,27
19137,10053,4850,5203,7752,2100,9868,185
19139,42889,21323,21566,32189,6908,41664,1225
19141,13835,6845,6990,10556,2836,13695,140
19143,6052,3059,2993,4636,1269,5952,100
19145,15268,7996,7272,12223,3305,14933,335
19147,9003,4468,4535,6873,1938,8913,90
19149,25068,12296,12772,18810,4531,24800,268
19151,6797,3318,3479,5332,1544,6758,39
19153,479612,236343,243269,359784,61222,465838,13774
19155,93393,46036,47357,71402,15838,91589,1804
19157,18388,8839,9549,14792,3715,18102,286
19159,4964,2418,2546,3766,1192,4931,33
19161,9802,4840,4962,7614,2270,9722,80
19163,172446,84605,87841,131299,27192,167170,5276
19165,11606,5682,5924,9019,2632,11449,157
19167,34827,17485,17342,25395,5301,34232,595
19169,96941,50622,46319,80837,11437,94520,2421
19171,17032,8444,8588,12936,3324,16854,178
19173,6167,3133,3034,4732,1355,6068,99
19175,12358,6001,6357,9583,2475,12236,122
19177,7150,3665,3485,5481,1582,7069,81
19179,35141,17401,17740,27154,6100,34437,704
19181,50076,24497,25579,37653,7781,49281,795
19183,22100,10964,11136,16634,4141,21801,299
19185,6429,3168,3261,4811,1395,6328,101
19187,36545,18874,17671,28777,6587,35896,649
19189,10534,5188,5346,8248,2197,10418,116
19191,20262,10058,10204,16512,4057,20161,101
19193,102586,50762,51824,75741,15071,99021,3565
19195,7445,3755,3690,5884,1503,7355,90
19197,12739,6434,6305,9682,2806,12538,201
20001,12556,6217,6339,9721,2541,11985,571
20003,7835,3891,3944,5798,1657,7781,54
20005,16268,7844,8424,12452,2752,15312,956
20007,4624,2352,2272,3521,998,4534,90
20009,26453,13040,13413,20172,4986,25960,493
20011,14608,7198,7410,10864,2840,14076,532
20013,9626,4737,4889,7199,1877,9235,391
20015,66698,33771,32927,49568,9898,65177,1521
20017,2637,1354,1283,2034,637,2582,55
20019,3323,1747,1576,2583,866,3105,218
20021,20179,10014,10165,15399,3839,18903,1276
20023,2665,1326,1339,2097,705,2654,11
20025,2026,1050,976,1525,478,1981,45
20027,8082,4036,4046,6140,1868,7973,109
20029,8938,4452,4486,6829,1876,8785,153
20031,8254,4204,4050,6476,1717,8000,254
20033,1740,926,814,1354,454,1737,3
20035,35351,17848,17503,26945,6399,33807,1544
20037,38968,19495,19473,30442,5920,37577,1391
20039,2860,1424,1436,2317,785,2845,15
20041,18828,9488,9340,14353,3663,18445,383
20043,7684,3921,3763,6220,1449,7621,63
20045,120290,59669,60621,98067,14205,115037,5253
20047,2869,1430,1439,2215,606,2811,58
20049,2523,1233,1290,1978,730,2433,90
20051,28775,14329,14446,22454,4315,27796,979
20053,6231,3536,2695,5084,1284,6038,193
20055,36750,18897,17853,25473,3905,35694,1056
20057,34179,17756,16423,23834,3618,33443,736
20059,25558,12546,13012,19388,4205,24686,872
20061,34025,18172,15853,23517,2767,32138,1887
20063,2644,1330,1314,2076,702,2569,75
20065,2519,1261,1258,2005,668,2423,96
20067,7467,3888,3579,5140,962,7417,50
20069,6039,3031,3008,4266,895,5942,97
20071,1185,596,589,876,243,1167,18
20073,6081,3065,3016,4781,1503,5823,258
20075,2591,1413,1178,1877,351,2576,15
20077,5594,2846,2748,4215,1245,5497,97
20079,34503,17159,17344,26040,6615,33442,1061
20081,4018,2017,2001,2866,570,3972,46
20083,1876,956,920,1469,413,1841,35
20085,13266,6627,6639,9950,2498,12755,511
20087,18890,9560,9330,14543,3487,18443,447
20089,2885,1473,1412,2330,855,2853,32
20091,591506,290098,301408,445914,83169,574430,17076
20093,3907,1860,2047,2784,572,3881,26
20095,7340,3671,3669,5700,1600,7168,172
20097,2505,1216,1289,1917,534,2433,72
20099,20119,9902,10217,15333,3717,19118,1001
20101,1564,798,766,1177,288,1564,0
20103,80745,43283,37462,61542,11394,77213,3532
20105,3044,1561,1483,2357,721,2991,53
20107,9671,4847,4824,7475,2137,9465,206
20109,2805,1408,1397,2113,566,2726,79
20111,33251,16107,17144,25804,4910,31844,1407
20113,28567,14070,14497,22052,5573,28003,564
20115,11964,5994,5970,9382,2764,11633,331
20117,9749,4887,4862,7409,2081,9554,195
20119,4180,2090,2090,3129,724,4067,113
20121,33417,16658,16759,25182,5694,32994,423
20123,6145,3125,3020,4772,1452,6076,69
20125,32521,16205,16316,24801,6258,31018,1503
20127,5566,2773,2793,4364,1355,5409,157
20129,2754,1375,1379,2054,578,2644,110
20131,10121,5127,4994,7433,1992,9984,137
20133,16108,7984,8124,12120,3095,15587,521
20135,2876,1472,1404,2259,727,2834,42
20137,5446,3018,2428,4389,1117,5344,102
20139,15881,7953,7928,12176,3105,15411,470
20141,3530,1765,1765,2785,862,3454,76
20143,5822,2997,2825,4488,1157,5732,90
20145,6629,3670,2959,5405,1344,6441,188
20147,5340,2631,2709,4142,1219,5260,80
20149,23847,11934,11913,16817,3363,23341,506
20151,9452,4724,4728,7041,1785,9281,171
20153,2502,1277,1225,1989,672,2462,40
20155,62765,31578,31187,48515,12120,61060,1705
20157,4658,2244,2414,3688,1277,4614,44
20159,9658,4853,4805,7447,1800,9345,313
20161,75056,39748,35308,62624,6690,71859,3197
20163,5053,2428,2625,3936,1118,4990,63
20165,3022,1503,1519,2362,751,2916,106
20167,6948,3451,3497,5501,1637,6832,116
20169,54701,27149,27552,41860,9412,52396,2305
20171,4917,2555,2362,3603,891,4847,70
20173,513375,253563,259812,380448,72054,490992,22383
20175,22349,11410,10939,15276,2099,21900,449
20177,177852,85977,91875,135526,31300,171251,6601
20179,2506,1286,1220,1912,589,2491,15
20181,5938,3086,2852,4535,1114,5834,104
20183,3627,1796,1831,2918,991,3557,70
20185,4181,2126,2055,3210,881,4096,85
20187,2052,1010,1042,1438,351,2001,51
20189,5603,2837,2766,3955,816,5377,226
20191,23114,11557,11557,17431,4230,22553,561
20193,7810,3773,4037,6037,1276,7725,85
20195,2840,1422,1418,2337,718,2814,26
20197,6889,3490,3399,5249,1345,6743,146
20199,1574,768,806,1165,349,1521,53
20201,5493,2807,2686,4261,1309,5459,34
20203,2130,999,1131,1595,400,2101,29
20205,8688,4261,4427,6603,1826,8315,373
20207,3157,1606,1551,2471,771,2986,171
20209,164861,81809,83052,118921,19840,157287,7574
21001,19222,9540,9682,15473,3571,19029,193
21003,20944,10456,10488,15962,3628,20617,327
21005,22409,10976,11433,17061,3459,22080,329
21007,8032,3966,4066,6267,1666,7856,176
21009,43884,21118,22766,33404,7525,42611,1273
21011,12355,6142,6213,9150,1997,12198,157
21013,26791,13174,13617,21092,4979,26414,377
21015,130820,64953,65867,96233,16864,127634,3186
21017,20058,9618,10440,15523,3800,19970,88
21019,47682,23854,23828,37522,9014,46470,1212
21021,29972,15008,14964,23990,5561,29325,647
21023,8305,4184,4121,6316,1341,8192,113
21025,12977,6515,6462,10335,2137,12897,80
21027,20176,10173,10003,15551,3888,19824,352
21029,80171,40070,40101,62465,12282,78946,1225
21031,12764,6420,6344,9873,2306,12621,143
21033,12702,6249,6453,9867,2653,12609,93
21035,38837,18835,20002,31798,6536,37701,1136
21037,92861,45407,47454,73184,14117,91582,1279
21039,4784,2338,2446,3694,987,4695,89
21041,10671,5466,5205,7920,1610,10551,120
21043,27159,13345,13814,21108,4966,26931,228
21045,15885,7749,8136,12282,3162,15675,210
21047,71414,37966,33448,52086,8611,69288,2126
21049,35971,17561,18410,27905,6308,35395,576
21051,20368,10674,9694,16028,3005,20031,337
21053,10193,5093,5100,7864,1945,10042,151
21055,9000,4595,4405,6978,1821,8858,142
21057,6697,3253,3444,5220,1440,6555,142
21059,100474,49081,51393,75979,16779,97830,2644
21061,12138,6117,6021,9878,2447,11835,303
21063,7510,4269,3241,6129,1425,7492,18
21065,14224,7015,7209,11148,2646,14142,82
21067,320601,157231,163370,253550,41539,308574,12027
21069,14513,7152,7361,10960,2537,14345,168
21071,36456,17813,18643,28582,6378,36062,394
21073,50529,24519,26010,39959,8605,48583,1946
21075,6130,3077,3053,4788,1230,5969,161
21077,8737,4491,4246,6583,1193,8577,160
21079,17445,8506,8939,13539,3121,17187,258
21081,24951,12323,12628,18278,3404,24525,426
21083,37248,18338,18910,28262,6789,36273,975
21085,26247,13073,13174,19987,4523,25862,385
21087,10979,5381,5598,8662,2211,10818,161
21089,35555,17392,18163,27917,7213,35083,472
21091,8720,4523,4197,6519,1471,8575,145
21093,108527,54044,54483,81839,14852,102889,5638
21095,26699,12871,13828,20592,4778,26266,433
21097,18722,9241,9481,14410,3266,18228,494
21099,18729,9211,9518,14058,3064,18439,290
21101,45829,22133,23696,35342,7889,44487,1342
21103,15911,7910,8001,12167,2705,15622,289
21105,4510,2137,2373,3645,1097,4360,150
21107,45331,22126,23205,34911,8157,44249,1082
21109,13369,6632,6737,10359,2274,13153,216
21111,767419,370951,396468,596428,120799,747922,19497
21113,53032,25630,27402,40099,7787,52154,878
21115,22634,11121,11513,17543,4007,22511,123
21117,165668,81938,83730,125887,23111,161594,4074
21119,15260,7504,7756,12194,2693,15056,204
21121,31365,15302,16063,24036,5367,30937,428
21123,14204,7005,7199,10993,2431,13980,224
21125,60357,29539,30818,46400,9691,59573,784
21127,15671,7768,7903,11938,2676,15562,109
21129,6881,3624,3257,5475,1196,6726,155
21131,10283,5045,5238,8075,1792,10133,150
21133,22295,10850,11445,17476,4128,22034,261
21135,13417,6717,6700,10422,2398,13255,162
21137,24476,11984,12492,18686,4366,23815,661
21139,9235,4581,4654,7309,1942,9054,181
21141,26902,13127,13775,20543,4895,26473,429
21143,8271,4359,3912,7120,2209,8162,109
21145,65268,31322,33946,50817,12651,63658,1610
21147,17465,9525,7940,13510,2672,17013,452
21149,9283,4580,4703,7080,1785,9183,100
21151,90802,44220,46582,71847,12131,88596,2206
21153,12491,6238,6253,9635,2093,12491,0
21155,19244,9759,9485,14559,3174,18915,329
21157,31192,15218,15974,24788,6762,30831,361
21159,11648,6433,5215,9325,1827,11570,78
21161,17112,8490,8622,13236,2989,16803,309
21163,28182,14232,13950,21724,3937,27480,702
21165,6443,3414,3029,5095,1302,6361,82
21167,21592,10617,10975,16816,3985,21249,343
21169,10036,4999,5037,7730,1884,9831,205
21171,10627,5332,5295,8230,1956,10546,81
21173,27884,13737,14147,21209,4396,27460,424
21175,13288,7481,5807,10812,2186,13138,150
21177,30951,15239,15712,24645,5763,30480,471
21179,45650,22785,22865,34757,6975,44770,880
21181,7153,3439,3714,5454,1206,7045,108
21183,24071,11843,12228,18110,4246,23808,263
21185,65967,34554,31413,49096,8384,64277,1690
21187,10796,5368,5428,8363,1931,10760,36
21189,4442,2018,2424,3544,844,4442,0
21191,14572,7422,7150,11173,2262,14445,127
21193,26624,13179,13445,20682,4349,26379,245
21195,59497,28874,30623,47183,10761,59053,444
21197,12304,6033,6271,9338,1906,12149,155
21199,64350,31316,33034,50012,12005,63510,840
21201,2123,981,1142,1616,456,2123,0
21203,16820,8155,8665,13110,2994,16741,79
21205,24507,11806,12701,19877,3339,24183,324
21207,17778,8648,9130,13757,3511,17520,258
21209,54667,26941,27726,40798,6480,52847,1820
21211,47325,22962,24363,36278,7242,46033,1292
21213,18183,8952,9231,13736,2986,17779,404
21215,18680,9449,9231,14385,2517,18461,219
21217,25571,12527,13044,19798,4452,24793,778
21219,12316,6087,6229,9027,1921,12114,202
21221,14449,7196,7253,11263,3208,14256,193
21223,8558,4221,4337,6688,1465,8445,113
21225,14638,7644,6994,11834,2370,14271,367
21227,128652,62979,65673,99429,16283,124877,3775
21229,12023,5900,6123,9221,2151,11735,288
21231,20546,10227,10319,16231,4124,20270,276
21233,13068,6479,6589,10040,2269,12636,432
21235,36131,17701,18430,27070,5702,35673,458
21237,7207,3603,3604,5539,1376,7132,75
21239,26318,12448,13870,20461,4670,25672,646
22001,62457,30442,32015,46105,9280,60725,1732
22003,25618,14542,11076,19882,3775,24908,710
22005,123114,60828,62286,89882,14010,119277,3837
22007,22478,10866,11612,17527,3902,22237,241
22009,40669,20490,20179,31062,6797,38696,1973
22011,37043,18833,18210,27860,5700,36009,1034
22013,13564,6397,7167,10492,2754,13443,121
22015,126499,62397,64102,94978,17476,124068,2431
22017,245831,116446,129385,186997,40601,240804,5027
22019,201619,98398,103221,151303,29382,196742,4877
22021,9992,5239,4753,7662,1812,9934,58
22023,6930,3355,3575,5361,1108,6831,99
22025,9766,5132,4634,7639,1639,9751,15
22027,15985,9131,6854,13093,3014,15787,198
22029,19778,10049,9729,15069,3340,19730,48
