FIPS,Total,Male,Female,Eighteen_Years_Plus,SixFive_Years_Plus,One_Race,Two_Plus_Races
2100,2518,1297,1221,1876,633,2321,197
2105,2139,1142,997,1817,439,1916,223
2110,32227,16504,15723,25283,4039,28679,3548
2122,58464,30480,27984,45217,9631,55128,3336
2130,13800,7083,6717,10767,2050,12563,1237
2150,13451,7221,6230,9990,1319,12366,1085
2158,8250,4463,3787,4920,454,7997,253
2164,1393,749,644,1070,109,1311,82
2170,105369,54838,50531,76973,11939,97281,8088
2180,9988,5262,4726,6554,702,9414,574
2185,9792,5985,3807,7229,671,9040,752
2188,7715,4189,3526,4995,575,7429,286
2195,3257,1723,1534,2608,717,2950,307
2198,6407,3478,2929,4906,1027,5747,660
2220,8640,4444,4196,6763,1310,7422,1218
2230,1107,606,501,948,130,1063,44
2240,6878,3770,3108,5014,938,6595,283
2261,9243,4845,4398,7087,1134,8584,659
2275,2502,1357,1145,2034,569,2251,251
2282,649,356,293,499,94,595,54
2290,5377,2879,2498,3886,770,5006,371
4001,71511,35155,36356,51960,10694,70271,1240
4003,125867,63967,61900,98481,27278,120665,5202
4005,141274,69789,71485,111970,16983,136164,5110
4007,53546,26507,27039,42814,15199,51924,1622
4009,37996,20325,17671,27713,5202,36901,1095
4011,9522,4984,4538,6894,1178,9471,51
4012,20793,10708,10085,17398,8025,20211,582
4013,4328810,2140563,2188247,3282749,641814,4169697,159113
4015,207695,104944,102751,171329,61383,202454,5241
4017,109270,54721,54549,79820,19062,106122,3148
4019,1027207,505666,521541,810074,197361,977054,50153
4021,432793,225618,207175,333405,85974,414673,18120
4023,46480,22271,24209,33770,8037,45856,624
4025,228067,111450,116617,190338,69858,222034,6033
4027,209468,107841,101627,156240,38700,203765,5703
5001,17914,8565,9349,13811,3405,17684,230
5003,20270,9825,10445,15614,4036,20133,137
5005,41427,20099,21328,34160,12779,40734,693
5007,265759,131999,133760,195281,35271,257704,8055
5009,37331,18440,18891,28724,7591,36425,906
5011,10874,5157,5717,8278,1994,10857,17
5013,5192,2609,2583,4224,1102,5116,76
5015,27965,13908,14057,21880,6307,27391,574
5017,10615,5239,5376,8251,2120,10484,131
5019,22386,10506,11880,18131,3634,22100,286
5021,14889,7329,7560,11655,3141,14640,249
5023,25100,12434,12666,20299,6719,24893,207
5025,8128,4007,4121,6320,1664,8024,104
5027,23776,11407,12369,18765,4065,23533,243
5029,20858,10154,10704,16038,3939,20088,770
5031,107345,52386,54959,80589,14510,104487,2858
5033,62739,30903,31836,47267,10276,60760,1979
5035,48672,23159,25513,35363,6619,45204,3468
5037,16824,8094,8730,12845,3084,15568,1256
5039,7279,3589,3690,5715,1617,7169,110
5041,11709,5562,6147,8709,2187,11492,217
5043,18417,9023,9394,14351,3127,18161,256
5045,123624,60393,63231,94887,15058,120327,3297
5047,17738,8735,9003,13514,3397,17400,338
